PARTNUMBER	SUPPLIER_NUMBER1	QUANTITY	MKTCOST
7308885	10	1	4.26
7337140	10	4	5.5
7338577	10	1	16.93
73702	10	1	20.91
7392087	10	2	8.79
7402977	10	1	0.302
7405012	10	1	5.56
74129	10	12	0.4
7475320	10	1	16.74
7502917	10	6	6.482
75306	10	1	9.38
75307	10	1	9.38
7598584	10	1	20.45
7699721	10	1	13.89
7729676	10	3	1.08
7795586	10	1	45.09
7798119	10	1	16.22
7804875	10	2	22.84
7809197	10	1	4.13
7809239	10	1	6.82
7809270	10	1	5.65
79480	10	1	0.664
8013984	10	35	12.67
8018277	10	2	1.158
8019844	10	14	16.729
8021785	10	1	10.15
8022007	10	2	11.78
8027412	10	1	4.44
8029894	10	1	4.25
8030430	10	1	6.337
8032213	10	4	53.04
8038370	10	1	6.94
8049066	10	1	64.34
8051408	10	1	25.517
8054158	10	2	15.23
8060811	10	1	6.567
8060812	10	1	6.57
8060813	10	1	6.57
8062614	10	1	5.72
8064560	10	4	1.68
8065790	10	1	37.233
8066279	10	1	33.01
8072790	10	6	14.32
8081001	10	1	63.21
8081411	10	1	6.45
8081992	10	1	4.03
8087500	10	1	4.37
8090094	10	1	88.66
8093699	10	1	0.79
8094861	10	3	1.08
8096752	10	4	3.94
8096782	10	1	17
81003	10	54	2.399
81053	10	6	5.914
8108718	10	1	347.5
81121	10	2	16.792
8167280	10	1	10.48
8167629	10	1	3.49
8198244	10	6	7.89
8207433	10	42	12.67
82079	10	6	12.64
8259756	10	1	38.4
8267924	10	6	4.07
8286395	10	1	6.67
8286452	10	2	5.07
8291551	10	1	23.6
8291577	10	1	8.92
8306532	10	10	12.67
83269	10	1	16.72
8365579	10	1	62.82
8371270	10	15	3.24
8389033	10	1	25.76
8389108	10	1	27.53
8399800	10	3	34.97
8439671	10	1	7.03
84427	10	3	21.47
8485823	10	1	9.91
87240	10	2	17.62
88956	10	2	8.48
9063222	10	10	2.74
9064704	10	6	32.338
9064705	10	9	32.96
90823	10	6	2.26
90901	10	24	2.2
9090671	10	12	1.9
9092206	10	6	3.09
9092777	10	60	0.975
9092779	10	60	0.98
91112	10	1	4.74
9158007	10	12	1.2
9281148	10	5	1.1
9297748	10	11	1.1
9297979	10	6	3.38
9329442	10	6	1.18
93579	10	36	1.11
93590	10	24	1.11
93595	10	48	1.39
9469479	10	24	1.17
