PARTNUMBER	ALTPARTNUMBER	DESCRIPTION1	DESCRIPTION2	STOCKONHAND	ADD_TO_STOCKONHAND	MINORDERQTY	MINSTOCK	MAXSTOCK	DAYSPCT	SEASONAL	SEASONSTART_MM	SEASONSTART_DD	SEASONEND_MM	SEASONEND_DD	SUPPLIER_NUMBER1	INVSUP_PARTNUMBER1	SUPPLIER_NUMBER2	INVSUP_PARTNUMBER2	SUPPLIERRATIO	BROKENCARTONCODE	UNITCOST	MKTCOST	PLVL_PRICE1	PLVL_REFMARGIN1	PLVL_ROUNDINGID1	PLVL_QTY2	PLVL_PRICE2	PLVL_REFMARGIN2	PLVL_ROUNDINGID2	PLVL_QTY3	PLVL_PRICE3	PLVL_REFMARGIN3	PLVL_ROUNDINGID3	PLVL_QTY4	PLVL_PRICE4	PLVL_REFMARGIN4	PLVL_ROUNDINGID4	CLASSID1	SUBCLASSID1	CLASSID2	SUBCLASSID2	CLASSID3	SUBCLASSID3	PART_MESSAGE	LOCATIONID	DEPTID	UOMID	WEIGHT	CORECHARGE	MFGPARTNUMBER	BINTAGCOUNT	PRINTBINTAGLATER	ORIGINDATE	TAXABLE	TAXCODE	CONSUMERUNITQTY	CONSUMERUNITTEXT	BRANDNAME	HISTORY_52WEEK	DELETED	ITEMTAGREQUIRED	EXT_SYNC	NETPRICE	CLASSNAME1	SUBCLASSNAME1	UNITOFMEASURENAME	DEPARTMENTNAME	IMAGE_ID	MARGIN1	MARGIN2	MARGIN3	MARGIN4	WEEK_CURRENT	WEEK_1	WEEK_2	WEEK_3	WEEK_4	WEEK_5	WEEK_6	WEEK_7	WEEK_8	WEEK_9	WEEK_10	WEEK_11	WEEK_12	WEEK_13	WEEK_14	WEEK_15	WEEK_16	WEEK_17	WEEK_18	WEEK_19	WEEK_20	WEEK_21	WEEK_22	WEEK_23	WEEK_24	WEEK_25	WEEK_26	WEEK_27	WEEK_28	WEEK_29	WEEK_30	WEEK_31	WEEK_32	WEEK_33	WEEK_34	WEEK_35	WEEK_36	WEEK_37	WEEK_38	WEEK_39	WEEK_40	WEEK_41	WEEK_42	WEEK_43	WEEK_44	WEEK_45	WEEK_46	WEEK_47	WEEK_48	WEEK_49	WEEK_50	WEEK_51	WEEK_52	WEEK_53	WEEK_54	WEEK_55	WEEK_56	WEEK_57	WEEK_58	WEEK_59	WEEK_60	WEEK_61	WEEK_62	WEEK_63	WEEK_64	WEEK_65	WEEK_66	WEEK_67	WEEK_68	WEEK_69	WEEK_70	WEEK_71	WEEK_72	WEEK_73	WEEK_74	WEEK_75	WEEK_76	WEEK_77	WEEK_78	WEEK_79	WEEK_80	WEEK_81	WEEK_82	WEEK_83	WEEK_84	WEEK_85	WEEK_86	WEEK_87	WEEK_88	WEEK_89	WEEK_90	WEEK_91	WEEK_92	WEEK_93	WEEK_94	WEEK_95	WEEK_96	WEEK_97	WEEK_98	WEEK_99	WEEK_100	WEEK_101	WEEK_102	WEEK_103	WEEK_104
1023337	008925141846	SANDING PAD 220G UFINE		3	0	1	1	999	100	0	  	  	  	  	10				1		3.55	3.55	9.99	0	2													150	4	-1	-1	-1	-1		670	14	133	0.100000001	0	DNTCAT220H05G	1	0	22-Apr-2022 00:00:00	1		1	EA	Diablo	4	0		0							64.5								1																												1											1									1			2																						1												1									1				1		
1023342	008925141792	SANDING PAD 80G C 5PK		3	0	1	1	999	100	0	  	  	  	  	10				1		3.55	3.55	9.99	0	2													150	4	-1	-1	-1	-1		670	14	133	0.100000001	0	DNTCAT080H05G	1	0	22-Apr-2022 00:00:00	1		1	EA	Diablo	8	0		0							64.5					1	2		2																									1								1															1							2																			1														1						1						
1023381	028756956785	SILICONE II K&B CLR2.8OZ		11	0	12	4	999	100	0	  	  	  	  	10	1023381			1		3.79	3.79	9.99	0	2													128	5	-1	-1	-1	-1		770	14	1	0.200000003	0	2812563	1	0	25-Jul-2010 00:00:00	1		2.8	OZ	GE	55	0	0	0							62.1				1	1		4	1	2		3	1	4	2				2	1		2		1		1	5			1	1	1	3			1	6		1	1	1		1		4		1								2	1	0	3		1	1			1	1	1	2	1		4	1	1	1	2	2		1	1		2	2	1	1	2	2			2		1	1	2		2	1	1	1		1	1		3	0		1	1	4	2	1
1023795	082901023845	ACE PAINT BRUSH 1.5OIL	 DISCONTINUED FOR 1006644	0	0	0	0	999	100	0	  	  	  	  	10	1023795			1		1.62	1.62	6.99	0	2													131	4	-1	-1	-1	-1		-1	14	1	0.200000003	0	8290102384S	1	0	12-Jun-1996 00:00:00	1		1	EA	SHUR-LINE		0	0	0	0						76.8																																																																																																												
1023845	082901023869	ACE 1COAT ROUGH REPL PAD		0	0	3	0	999	100	0	  	  	  	  	10				0.333332986		1.56	1.56	4.79	0	2													1193	-1	-1	-1	-1	-1		-1	14	2	0	0	82901-02386C	1	0	12-Jun-1996 00:00:00	1		1	EA			0	0	0	0						67.4																																																																																																												
1023946	808124114319	DISH SOAP DAISY 16OZ		2	0	0	0	999	100	0	  	  	  	  	10				1		3.38	3.38	6.99	0	2													113	1	-1	-1	-1	-1		0	10	1	1.200000048	0	11431	1	0	01-Mar-2023 00:00:00	1		1	EA	MRS. MEYER'S		0		0							51.6																																																																																																												
1023948	808124114302	MULTI-SF CLNR DAISY 16OZ		0	0	0	0	999	100	0	  	  	  	  	10				1		3.38	3.38	6.99	0	2													103	10	-1	-1	-1	-1		0	10	1	1.299999952	0	11430	1	0	01-Mar-2023 00:00:00	1		1	EA	MRS. MEYER'S	2	0		0							51.6																2																																																						1	1					1																1																
1023994	073502048108	UPRGHT VACUM BAGD CORDED	ITEM CANCELLED BY ACE	0	0	0	0	999	100	0	  	  	  	  	10				1		152.23	152.72	189.99	0	2													123	4	-1	-1	-1	-1		0	10	1	21.79999924	0	UH30601	1	0	02-May-2023 00:00:00	1		1	EA			0		0							19.9																																																																																																												
1024033	051111106303	SANDSPNG FINE120GR5-1/2W	ITEM CANCELLED BY ACE	0	0	0	0	999	100	0	  	  	  	  	10	1024033			1		1.73	1.93	5.99	0	2													150	5	-1	-1	-1	-1		-1	14	1	0.100000001	0	917DC-NA	1	0	04-Dec-2000 00:00:00	1		1	EA	3M		0	0	0	0						71.1																																																																																																												
1024062	047034079268	E-Z CLEAN PAINT GOGGLES		2	0	1	1	999	100	0	  	  	  	  	10				1		8.64	8.64	16.99	0	2													136	5	-1	-1	-1	-1		430	14	1	0.100000001	0	07926	1	0	26-Jun-2024 00:00:00	1		1	EA		2	0		0							49.1																																													2																																																															
1024209	075919055120	E-Z DECK WASH 64OZ		3	0	6	1	999	100	0	  	  	  	  	10				1		10.88	10.88	19.99	0	2													187	6	-1	-1	-1	-1		1863	14	325	5.099999905	0	FG512M	1	0	20-Feb-2024 00:00:00	1		1	EA	MOLD ARMOR	3	0		0							45.6							2		1																																																																																																			
1024210	052427016270	WOOD FILLER NATURAL 6OZ	CLIP STRIP IN STORE CANCEL	0	0	0	0	999	100	0	  	  	  	  	10				1		5.48	5.48	11.99	0	2													156	1	-1	-1	-1	-1		0	14	1	0.5	0	107072	1	0	09-Mar-2022 00:00:00	1		1	EA	GORILLA	11	0		0							54.3																				1			1		2						1					1							1		1		1		1				1				1		1			1					2	1			0	2	1	1					1	1		1			2		1	1		1	1		1			1	2						1			1	0	
1024213	052427009043	WALL REPAIR KIT 8OZ		0	0	0	0	999	100	0	  	  	  	  	10				1		9.81	9.81	15.99	0	2													146	1	-1	-1	-1	-1		690	14	1	0.600000024	0	103959	1	0	09-Mar-2022 00:00:00	1		1	EA	Gorilla		0		0							38.6																																																															1																																								1	1				
1024222	719812041742	"SQG GD GRPS RBR 10"""	ITEM CANCELLED BY ACE	1	0	0	1	999	100	0	  	  	  	  	10				1		6.39	6.66	13.99	0	2													121	1	-1	-1	-1	-1		1879	10	1	0.200000003	0	13117300V2	1	0	11-Oct-2023 00:00:00	1		1	EA	OXO		0		0							54.3																																																																																																												
1348671	020066172558	UNIVERSAL ARTIC GRAY		0	0	6	0	999	100	0	  	  	  	  	10				0.166666999		4.36	4.36	7.99	0	2													1163	-1	-1	-1	-1	-1		-1	14	2	0	0	245216	1	0	25-Jun-2008 00:00:00	1		1	EA			0	0	0	0						45.4																																																																																																												
1348697	020066172459	UNIVERSAL SATIN BLACK		4	0	6	0	999	100	0	  	  	  	  	10	1348697			1		8.72	8.72	12.99	0	2													163	1	-1	-1	-1	-1		410	14	1	1.100000024	0	245197	1	0	25-Jun-2008 00:00:00	1		12	OZ	RUST-OLEUM	11	0	0	0	0						32.9						1	1											2					1						1					1			1									2								1																				1				1									2												1						4			
1348705	020066172497	UNIVERSAL SATIN WHITE		7	0	6	0	999	100	0	  	  	  	  	10	1348705			1		8.637	8.72	12.99	0	2													163	1	-1	-1	-1	-1		410	14	1	1.100000024	0	245210	1	0	25-Jun-2008 00:00:00	1		12	OZ	RUST-OLEUM	5	0	0	0	0						33.5																																															1		2	2																															1																											
1348713	020066172565	UNIVERSAL BLACK HAMMERED		6	0	6	0	999	100	0	  	  	  	  	10	1348713			1		9.68	9.48	13.99	0	2													163	1	-1	-1	-1	-1		410	14	1	1.100000024	0	245217	1	0	25-Jun-2008 00:00:00	1		12	OZ	RUST-OLEUM	1	0	0	0	0						30.8														1																																																					1																					1	1		3								-1	2		1				1	5	1
1348853	020066172572	UNIVERSAL BROWN HAMMERED		7	0	6	0	999	100	0	  	  	  	  	10	1348853			1		9.48	9.48	13.99	0	2													163	1	-1	-1	-1	-1		410	14	1	1.100000024	0	245218	1	0	25-Jun-2008 00:00:00	1		12	OZ	RUST-OLEUM	6	0	0	0	0						32.2						3																																	1	-1											2			1				1		1				2			1													1							1																					
13490	046500022517	SHOUT PRETREAT 22OZ		3	0	1	0	999	100	0	  	  	  	  	10	13490			1		3.48	3.48	5.99	0	2													113	12	-1	-1	-1	-1		1861	10	1	1.700000048	0	02251	1	0	23-Jan-2007 00:00:00	1		22	OZ	SHOUT	10	0	0	0	0						41.9					1						1					1			1																1							1		1			1							2									1			1		1									1																								1							
1349133	020066172589	UNIVERSAL SLVR HAMMERED		3	0	1	0	999	100	0	  	  	  	  	10	1349133			1		9.48	9.48	13.99	0	2													163	1	-1	-1	-1	-1		410	14	1	1	0	245219	1	0	25-Jun-2008 00:00:00	1		12	OZ	RUST-OLEUM	5	0	0	0	0						32.2																																			1															4								1													1				1									1							1																	
13492	026000008471	WOOD FILLER NTRL 4OZ	ITEM CANCELLED BY ACE	0	0	0	2	999	100	0	  	  	  	  	10	13492			1		1.26	1.26	4.59	0	2													156	1	-1	-1	-1	-1		-1	14	1	0.300000012	0	E847D12	1	0	25-Aug-1995 00:00:00	1		1	EA			0	0	0	0						72.5																																																																																						1	1	1	1				1		1			1		1	1		1			1	1	
1349414	020066172596	UNIVERSAL TITANIUM SLVR		3	0	1	0	999	100	0	  	  	  	  	10	1349414			1		9.02	9.02	13.99	0	2													163	6	-1	-1	-1	-1		410	14	1	0.899999976	0	245220	1	0	25-Jun-2008 00:00:00	1		12	OZ	RUST-OLEUM	1	0	0	0	0						35.5								0																															1																								1								2																1																					
1349422	020066172602	UNIVERSAL PURE GOLD		4	0	6	0	999	100	0	  	  	  	  	10	1349422			1		9.02	9.02	13.99	0	2													163	6	-1	-1	-1	-1		410	14	1	1	0	245221	1	0	25-Jun-2008 00:00:00	1		12	OZ	RUST-OLEUM	7	0	0	0	0						35.5													1										1																		1									3				1			1		2				1																		1	1			1				2											1		1						
1349430	078827054162	LVC CONTACT CLEANER 11OZ	CLOSEOUT: CHECK AVAILABILITY	0	0	0	0	999	100	0	  	  	  	  	10				1		12.53	17.75	27.99	0	2													810	14	-1	-1	-1	-1		-1	84	1	0.899999976	0	05416	1	0	05-Sep-2021 00:00:00	1		11	OZ	LPS		0		0							55.2																																																																																																												
13500	023400008650	SOFTSCRUB LMN CLNSR 24OZ		2	0	1	0	999	100	0	  	  	  	  	10	13500			1		3.33	3.33	4.99	0	2													113	6	-1	-1	-1	-1		1860	10	1	1.700000048	0	000865	1	0	19-Jun-1996 00:00:00	1		24	OZ	SOFT SCRUB	4	0	0	0	0						33.3										1					1																				1							1																		1					1																																											
13501	081099222658	"JOINT TAPE 2-1/16""X500FT"		0	0	0	3	999	100	0	  	  	  	  	10				1		4.72	5.79	8.99	0	2													146	2	-1	-1	-1	-1		-1	14	1	2.599999905	0	382198	1	0	09-Mar-2011 00:00:00	1		500	FT	USG SHEETROCK	1	0	0	0	0						47.5																																					1																										1																												1																	
13506	811435002152	CHOREBOY COPPR SCRBR 2PK	ITEM CANCELLED BY ACE	0	0	0	0	999	100	0	  	  	  	  	10				1		1.55	1.89	3.99	0	2													117	3	-1	-1	-1	-1		-1	10	123	0.100000001	0	10811435002159	1	0	13-Jan-2021 00:00:00	1		1	EA	CHORE BOY		0		0							61.2																																																																																																												
13508	811435002176	CHORE BOY GOLDEN FLEECE		0	0	0	4	999	100	0	  	  	  	  	10				1		1.14	1.14	2.99	0	2													117	3	-1	-1	-1	-1		-1	10	108	0.100000001	0	10811435002173	1	0	14-Feb-2009 00:00:00	1		1	EA	CHORE BOY		0	0	0	0						61.9																																																																																																												
13510	082901135104	ACE JOINT TAPE1-7/8X300'	 DISCONTINUED FOR 1338367	0	0	0	0	999	100	0	  	  	  	  	10	13510			1		3.93	3.93	9.99	0	2													146	2	-1	-1	-1	-1		-1	14	1	0.800000012	0	1330801	1	0	25-Aug-1995 00:00:00	1		300	FT	ACE	4	0	0	0	0						60.7																																	2								-1	1				2																	1										1									1																										
13528	026748009341	VARNISH EXT SAT QT FLECT		0	0	0	0	999	100	0	  	  	  	  	10	13528			1		10.39	15.43	29.99	0	2													143	1	-1	-1	-1	-1		-1	14	2	2.299999952	0	9341H	1	0	28-Apr-2019 00:00:00	1		32	OZ	VARATHANE		0	0	0	0						65.4																																																																																																												
13538	028893244042	REGULATOR W/GAUGE 160PSI		0	0	1	0	999	100	0	  	  	  	  	10	13538			1		26.85	29.46	64.99	0	2													168	4	-1	-1	-1	-1		-1	14	2	1.200000048	0	TRFL27404	1	0	18-Jul-2007 00:00:00	1		1	EA	TRU-FLATE		0	0	0	0						58.7																																																																																																												
13539	028893244141	REGULATOR W/GAUGE 125PSI		0	0	1	0	999	100	0	  	  	  	  	10	13539			1		26.85	30.53	64.99	0	2													168	4	-1	-1	-1	-1		-1	14	2	1.200000048	0	TRFL27414	1	0	18-Jul-2007 00:00:00	1		1	EA	TRU-FLATE		0	0	0	0						58.7																																																																																																												
13553	078827001166	LPS NO.1 LUBRICANT 11OZ	ITEM CANCELLED BY ACE	0	0	0	0	999	100	0	  	  	  	  	10				1		8.23	11.49	19.99	0	2													810	8	-1	-1	-1	-1		-1	84	1	0.899999976	0	00116	1	0	05-Sep-2021 00:00:00	1		11	OZ	LPS		0		0							58.8																																																																																																												
13554	078827002163	LPS NO.2 LUBRICANT 11OZ	ITEM CANCELLED BY ACE	0	0	0	0	999	100	0	  	  	  	  	10	13554			1		8.15	11.37	19.99	0	2													810	8	-1	-1	-1	-1		-1	84	1	0.899999976	0	00216	1	0	20-Aug-2009 00:00:00	1		11	OZ	LPS		0	0	0	0						59.2																																																																																																												
13562	026000008631	ADDITIV CEMENT GAL ELMER	ITEM CANCELLED BY ACE	0	0	0	0	999	100	0	  	  	  	  	10	13562			1		16.88	16.88	54.99	0	2													148	1	-1	-1	-1	-1		-1	14	2	9.699999809	0	E863	1	0	25-Aug-1995 00:00:00	1		1	EA			0	0	0	0						69.3																																																																																																												
13606	011120002188	CORDLESS SWEEPER BLUE		0	0	0	0	999	100	0	  	  	  	  	10				1		0.01	0.01	32.99	0	2													1123	-1	-1	-1	-1	-1		-1	10	2	0	0	2402	1	0	20-Jan-2020 00:00:00	1		1	EA			0	0	0	0						100																																																																																																												
1360999	751664303975	ADHESIVE REMOVER VOC QT		0	0	6	0	999	100	0	  	  	  	  	10				0.166666999		9.85	9.85	14.99	0	2													1141	-1	-1	-1	-1	-1		-1	14	2	0	0	QCAR30397	1	0	22-Mar-2019 00:00:00	1		1	EA			0	0	0	0						34.3																																																																																																												
1361047	033873210009	STEEL WOOL PAD #000 12PK		3	0	6	0	999	100	0	  	  	  	  	10	1361047			1		1.4	1.4	6.99	0	2													150	10	-1	-1	-1	-1		660	14	106	0.400000006	0	10121000	1	0	29-Oct-2008 00:00:00	1		12	EA	RHODES AMERICAN	14	0	0	0	0						80					1	1		2		1														1	1			1	1		1								-1					1			1			1		1		1			1	1					1						1		1						1									1			1									1					1				1	
1361054	033873200000	STEEL WOOL PAD#0000 12PK		5	0	6	2	999	100	0	  	  	  	  	10	1361054			1		1.42	1.42	6.99	0	2													150	10	-1	-1	-1	-1		660	14	106	0.400000006	0	10120000	1	0	29-Oct-2008 00:00:00	1		12	EA	RHODES AMERICAN	46	0	0	0	0						79.7					1								2		1	2					1	1	1			1	2	2	2	2	1	2	2	1	1	1	2		1	2	1	2	2	2		1						1	1		2	3	1	2			1	2		2	1				1	1	2	1		1	1		1	1		2	1		1		4	1		3	3	2			2	2		2	2			1	1	1		1		1	1	
1361062	033873211143	STEEL WOOL PAD ASST 12PK		4	0	6	0	999	100	0	  	  	  	  	10	1361062			1		1.4	1.4	6.99	0	2													150	10	-1	-1	-1	-1		660	14	106	0.400000006	0	10121114	1	0	09-Sep-2011 00:00:00	1		12	EA	RHODES AMERICAN	11	0	0	0	0						80						1					1								2										1		2				1													1						1	1												1															1																										
1361088	033873211006	STEEL WOOL PADS #00 12PK		2	0	6	0	999	100	0	  	  	  	  	10	1361088			1		1.22	1.22	6.99	0	2													150	10	-1	-1	-1	-1		660	14	106	0.400000006	0	10121100	1	0	29-Oct-2008 00:00:00	1		12	EA	RHODES AMERICAN	16	0	0	0	0						82.5					2			2				1		1			1							1			1							1		1					1			1				2						1				1						1										2						1	1					1		1									1											
1361104	033873211105	STEEL WOOL PADS #0 12PK		6	0	6	0	999	100	0	  	  	  	  	10	1361104			1		1.18	1.18	6.99	0	2													150	10	-1	-1	-1	-1		660	14	106	0.400000006	0	10121110	1	0	29-Oct-2008 00:00:00	1		12	EA	RHODES AMERICAN	7	0	0	0	0						83.1					1													1				1																				1						2						1				1				1		2							1											1		1					1							3												
1361120	033873211136	STEEL WOOL PADS #3 12PK		8	0	6	0	999	100	0	  	  	  	  	10	1361120			1		1.08	1.08	6.99	0	2													150	10	-1	-1	-1	-1		660	14	106	0.400000006	0	10121113	1	0	29-Oct-2008 00:00:00	1		12	EA	RHODES AMERICAN	13	0	0	0	0						84.5																			5											1				2		1			1				1			1			1														2					1																			1										1						1					
1463017	082901257370	C+K INT PP1 FLT MDBS GL		0	0	0	0	999	100	0	  	  	  	  	10				0.25		3.83	3.83	26.99	0	2													1162	-1	-1	-1	-1	-1		-1	14	2	0	0	124A320-6	1	0	19-Oct-2011 00:00:00	1		1	EA			0	0	0	0						85.8																																																																																																												
1463066	082901257387	C+K INT FLT TNT BS NB 1G		0	0	4	0	999	100	0	  	  	  	  	10	1463066			0.25		13.54	13.54	29.99	0	2													162	16	-1	-1	-1	-1		-1	14	2	0	0	124A340-6	1	0	19-Oct-2011 00:00:00	1		1	EA			0	0	0	0						54.9																																																																																																												
1463165	082901257417	C+K INT PP1 FLT MDBS QT		0	0	0	0	999	100	0	  	  	  	  	10				0.25		5.79	5.79	13.99	0	2													1162	-1	-1	-1	-1	-1		-1	14	2	0	0	124A320-2	1	0	19-Oct-2011 00:00:00	1		1	EA			0	0	0	0						58.6																																																																																																												
1463173	082901257424	C+K INT FLT TNT BS NB 1Q		0	0	4	0	999	100	0	  	  	  	  	10	1463173			0.25		1.32	1.32	13.99	0	2													162	16	-1	-1	-1	-1		-1	14	2	0	0	124A340-2	1	0	19-Oct-2011 00:00:00	1		1	EA			0	0	0	0						90.6																																																																																																												
1463181	082901257431	C+K EXT FLT DW  1GAL		0	0	0	0	999	100	0	  	  	  	  	10	1463181			1		5.45	5.45	36.99	0	2													162	17	-1	-1	-1	-1		-1	14	2	12.30000019	0	106A100-6	1	0	19-Oct-2011 00:00:00	1		1	EA			0	0	0	0						85.3																																																																																																												
1463199	082901257448	C+K EXT FLT BLK  1GAL		0	0	2	0	999	100	0	  	  	  	  	10	1463199			0.5		21.53	21.53	36.99	0	2													162	17	-1	-1	-1	-1		-1	14	2	0	0	106A105-1	1	0	12-Apr-2019 00:00:00	1		1	EA			0	0	0	0						41.8																																																																																																												
1463231	082901257455	C+K EXT FLT RR  1GAL		0	0	2	0	999	100	0	  	  	  	  	10				0.5		21.03	21.03	34.99	0	2													1162	-1	-1	-1	-1	-1		-1	14	2	0	0	106A120-1	1	0	13-Feb-2019 00:00:00	1		1	EA			0	0	0	0						39.9																																																																																																												
1463249	082901257462	C+K EXT FLT BRK BRN  1GA		0	0	2	0	999	100	0	  	  	  	  	10	1463249			0.5		21.03	21.03	34.99	0	2													162	17	-1	-1	-1	-1		-1	14	2	0	0	106A135-1	1	0	13-Feb-2019 00:00:00	1		1	EA			0	0	0	0						39.9																																																																																																												
1463256	082901257479	C+K EXT FLT ULT WHT  1GA	 DISCONTINUED FOR 1020144	0	0	0	0	999	100	0	  	  	  	  	10	1463256			1		21.81	21.94	36.99	0	2													162	17	-1	-1	-1	-1		-1	14	2	12.39999962	0	106A310-6	1	0	19-Oct-2011 00:00:00	1		1	EA			0	0	0	0						41																																																																																																												
