PARTNUMBER	SUPPLIER_NUMBER1	QUANTITY	MKTCOST
4003370	10	1	18.62
4006554	10	1	17.81
4011987	10	1	4.96
4021390	10	2	5.07
4027496	10	200	0.23
4028734	10	1	1.26
40359	10	1	0.42
40558	10	1	4.54
4060380	10	5	3.01
4067278	10	1	1.14
4067468	10	5	2.79
40688	10	1	1.21
4068847	10	1	1.95
4070629	10	1	26.54
4070959	10	1	1.10
4099024	10	50	1.72
41803	10	2	0.56
4192472	10	12	1.22
4199485	10	1	20.29
4201497	10	1	14.44
4205761	10	1	5.43
4224549	10	1	15.93
4224721	10	1	5.39
4232906	10	1	13.65
4267662	10	1	15.23
43084	10	1	8.88
43794	10	5	0.64
4396040	10	1	7.97
4529962	10	1	3.36
4547758	10	1	16.02
4575411	10	1	18.32
4595567	10	1	8.25
46534	10	1	1.04
4739975	10	1	4.42
47658	10	8	3.20
47837	10	1	0.99
4794251	10	2	30.02
47982	10	1	81.72
4806303	10	4	13.10
4806709	10	1	7.46
4808911	10	1	1.58
4871125	10	1	3.10
4872743	10	1	2.56
4872933	10	1	1.87
4917530	10	1	2.84
4924494	10	1	9.94
49358	10	1	16.64
49873	10	2	0.50
49875	10	1	0.61
49943	10	1	6.12
5000510	10	3	6.11
5006605	10	1	37.14
5011932	10	5	1.46
5012077	10	1	5.98
5013641	10	1	33.55
5020846	10	1	6.17
5021904	10	1	15.52
5021990	10	1	5.88
50268	10	10	0.34
5028381	10	3	1.05
5028382	10	3	0.97
5035821	10	1	5.78
5035829	10	1	5.78
5044002	10	1	6.08
5081112	10	5	13.40
5094826	10	1	6.94
5096656	10	1	2.14
5099452	10	5	2.98
51242	10	1	0.93
51246	10	1	0.98
51679	10	1	0.65
5208541	10	5	5.46
52114	10	5	2.97
52504	10	4	0.22
5269196	10	1	29.44
5289210	10	5	1.08
5293071	10	1	2.40
5309224	10	1	7.66
5334214	10	5	4.06
5366414	10	1	10.51
5372743	10	1	7.20
5425434	10	2	1.29
5425707	10	1	1.46
5481973	10	1	6.09
5620612	10	5	4.31
5731757	10	1	1.20
5800693	10	1	7.52
5977533	10	1	31.67
6005975	10	2	6.04
6024265	10	1	16.51
6065763	10	1	6.67
6083824	10	1	1.73
6095798	10	1	1.09
6136733	10	1	8.38
6187116	10	6	6.08
6189302	10	12	3.57
6211726	10	1	3.71
6211775	10	1	4.69
6215214	10	6	1.82
62172	10	1	10.13
62555	10	1	4.18
6305726	10	1	7.13
6409833	10	1	11.85
7004814	10	1	9.77
7006602	10	1	14.37
7006686	10	1	559.11
7007851	10	1	19.73
7008377	10	1	25.87
7010907	10	1	11.37
7011887	10	1	104.13
7013866	10	1	79.84
7016648	10	2	28.10
7024937	10	1	8.36
7026291	10	1	429.83
7029020	10	6	35.39
7030525	10	1	1.07
7030897	10	1	7.52
7033960	10	1	17.08
7036463	10	1	6.98
7036726	10	63	6.88
7037299	10	1	19.25
7038655	10	1	486.26
7040526	10	1	321.13
70560	10	1	1.67
70736	10	36	0.86
7082621	10	1	0.53
70856	10	1	3.03
7094931	10	1	0.35
7100589	10	1	1.26
7107287	10	1	0.54
7118052	10	1	1.05
7130834	10	4	8.60
71459	10	1	10.07
7159908	10	1	13.13
7167117	10	1	16.82
71722	10	1	6.98
71939	10	5	2.13
7196165	10	2	1.19
7199029	10	1	36.74
7205990	10	2	20.01
7208325	10	1	12.76
7215197	10	6	7.79
7215361	10	6	9.53
7239098	10	1	2.34
7260003	10	1	4.75
7266505	10	24	2.71
72815	10	1	16.94
7308885	10	1	4.26
7337140	10	4	5.50
73702	10	1	20.91
7392087	10	1	8.79
7402977	10	1	0.30
7405012	10	1	5.56
74129	10	12	0.40
7475320	10	1	16.74
75306	10	1	9.38
75307	10	1	9.38
7598584	10	1	20.45
7699721	10	1	13.89
7729676	10	3	1.08
7798119	10	1	16.22
7804875	10	2	22.84
7809197	10	1	4.13
7809239	10	1	6.82
7809270	10	1	5.65
79480	10	1	0.66
8013984	10	35	12.67
8018277	10	2	1.16
8019844	10	14	16.73
8022007	10	2	11.78
8030430	10	1	6.34
8032213	10	4	53.04
8049066	10	1	64.34
8054158	10	2	15.23
8064560	10	4	1.68
8065790	10	1	37.23
8069223	10	6	4.50
8072790	10	6	14.32
8081001	10	1	63.21
8081992	10	1	4.03
8087500	10	1	4.37
8090094	10	1	88.66
8093699	10	1	0.79
8094861	10	3	1.08
8096782	10	1	17.00
81003	10	60	2.40
81053	10	6	5.91
8108718	10	1	347.50
81121	10	2	16.79
81311	10	1	15.61
8167280	10	1	10.48
8198244	10	6	7.89
8207433	10	42	12.67
82079	10	6	12.64
8211906	10	1	11.58
8259756	10	1	38.40
8267924	10	6	4.07
8286452	10	2	5.07
8291494	10	1	10.89
8291551	10	1	23.60
8291577	10	1	8.92
8306532	10	10	12.67
83269	10	1	16.72
8339418	10	1	5.44
8365579	10	1	62.82
8371270	10	15	3.24
8389033	10	1	25.76
8389108	10	1	27.53
8399800	10	3	34.97
84317	10	4	12.78
8485823	10	1	9.91
86838	10	1	9.17
87240	10	2	17.62
88956	10	2	8.48
9063222	10	10	2.74
9064704	10	6	32.34
9064705	10	9	32.96
90823	10	6	2.26
90901	10	24	2.20
9092777	10	60	0.97
9092779	10	60	0.98
91112	10	1	4.74
9158007	10	12	1.20
9281148	10	5	1.10
9297748	10	11	1.10
9329442	10	6	1.18
93579	10	36	1.11
93590	10	24	1.11
93595	10	48	1.39
9469479	10	24	1.17
